item_id,user_id,collection_name,name,category,year,condition,value,description
d2bfa0bb-c179-47f7-a451-68180c3d8b3e,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Pikachu Illustrator,Cards,1963,Near Mint,500000,A rare Pikachu Illustrator from the Rare Pokémon Cards collection.
a7c58fcb-8da1-435b-8490-4f4f4f1846d6,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Charizard 1st Edition Shadowless,Cards,2002,Near Mint,350000,A rare Charizard 1st Edition Shadowless from the Rare Pokémon Cards collection.
9f04267f-9715-4f6f-ae6f-bd5cb31c5789,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Blastoise Galaxy Star Holo,Cards,2001,Mint,310000,A rare Blastoise Galaxy Star Holo from the Rare Pokémon Cards collection.
fe8021be-f4e8-4661-b42b-9b8644e2b54e,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Kangaskhan Parent/Child Promo,Cards,1952,Near Mint,150000,A rare Kangaskhan Parent/Child Promo from the Rare Pokémon Cards collection.
acead719-2fbf-406b-8b2a-fce44d4f2b7b,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Lugia Neo Genesis 1st Edition,Cards,2018,Worn,129000,A rare Lugia Neo Genesis 1st Edition from the Rare Pokémon Cards collection.
7930bc80-02f4-4c26-9427-16c2a68dd151,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Rayquaza Gold Star,Cards,1965,Near Mint,45000,A rare Rayquaza Gold Star from the Rare Pokémon Cards collection.
2ad4c0ff-4269-4584-81ce-977b8ab8e62c,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Mewtwo 1st Edition Holo,Cards,1960,Used,30000,A rare Mewtwo 1st Edition Holo from the Rare Pokémon Cards collection.
bec88b07-157b-4c6d-a5b7-62878cc413a0,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Shining Charizard,Cards,1952,Used,25000,A rare Shining Charizard from the Rare Pokémon Cards collection.
f83186eb-0d33-4c22-9872-2ae097a36ab5,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Tropical Wind Promo,Cards,2019,Near Mint,20000,A rare Tropical Wind Promo from the Rare Pokémon Cards collection.
c1d51553-bd28-4094-a3c7-47a17f8c3776,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Espeon Gold Star,Cards,2015,Near Mint,15000,A rare Espeon Gold Star from the Rare Pokémon Cards collection.
8e469583-7aa1-46d4-a3ea-2fa3f27d7f29,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Gengar Fossil Holo,Cards,1994,Used,14000,A rare Gengar Fossil Holo from the Rare Pokémon Cards collection.
3b587ff1-43a9-461b-ab2a-79047595ec94,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Umbreon Gold Star,Cards,2001,Worn,13500,A rare Umbreon Gold Star from the Rare Pokémon Cards collection.
14a7a87c-028f-42e1-a5bc-5c4f510d98f1,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Magikarp Tamamushi University,Cards,1961,Used,13000,A rare Magikarp Tamamushi University from the Rare Pokémon Cards collection.
69185679-8697-47bd-bbe9-2316dc86efaa,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,No Rarity Symbol Venusaur,Cards,1987,Mint,12500,A rare No Rarity Symbol Venusaur from the Rare Pokémon Cards collection.
f534ed93-1183-4fdc-bcb0-2d45d7931ee9,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Gold Star Torchic,Cards,2014,Near Mint,12000,A rare Gold Star Torchic from the Rare Pokémon Cards collection.
f760463a-4b02-4529-9f04-d322d5be8b38,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Crystal Charizard,Cards,1976,Used,11000,A rare Crystal Charizard from the Rare Pokémon Cards collection.
e9a2e2ea-f946-4d74-a0ee-b08eedc9e20e,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Typhlosion 17/111 Neo Genesis,Cards,1957,Mint,10500,A rare Typhlosion 17/111 Neo Genesis from the Rare Pokémon Cards collection.
54431209-02c9-45f9-b983-79f8ed4504c9,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Shadowless Blastoise,Cards,1991,Worn,10000,A rare Shadowless Blastoise from the Rare Pokémon Cards collection.
5e4c0a69-6b09-44a5-8f38-3d65562ee156,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Raichu,Cards,2000,Worn,9500,A rare 1st Edition Raichu from the Rare Pokémon Cards collection.
89c9f608-f17a-4ebf-9fa9-67e5b8d8a202,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Shining Mewtwo,Cards,2022,Worn,9000,A rare Shining Mewtwo from the Rare Pokémon Cards collection.
2e39c3c3-b3d1-49f0-a4d5-9a0bd1c78bef,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Gold Star Metagross,Cards,1960,Worn,8500,A rare Gold Star Metagross from the Rare Pokémon Cards collection.
8485d6af-0e2a-4390-9a41-8ac3407ea59d,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Ancient Mew,Cards,2018,Used,8000,A rare Ancient Mew from the Rare Pokémon Cards collection.
b4fda87e-6da1-4975-b204-dbf3dd5a0ce4,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Alakazam,Cards,1980,Used,7500,A rare 1st Edition Alakazam from the Rare Pokémon Cards collection.
82a6c09a-c52e-4eb1-999b-96bab756e6bc,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Shadowless Gyarados,Cards,1980,Near Mint,7000,A rare Shadowless Gyarados from the Rare Pokémon Cards collection.
5d2331f6-2cef-44d0-bec2-ee10b8ae4585,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Zapdos,Cards,1966,Worn,6500,A rare 1st Edition Zapdos from the Rare Pokémon Cards collection.
edcef926-e907-4da0-b3e6-7c3bda2a11db,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Dark Dragonite Holo,Cards,1980,Mint,6000,A rare Dark Dragonite Holo from the Rare Pokémon Cards collection.
7b372e05-7316-4c5b-8f6a-982a123d7956,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Charizard Crystal Guardians,Cards,1990,Used,5500,A rare Charizard Crystal Guardians from the Rare Pokémon Cards collection.
4c07aee1-98e6-45a7-9bd0-ede4c29f9fa1,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Clefable,Cards,1965,Worn,5000,A rare 1st Edition Clefable from the Rare Pokémon Cards collection.
753acdf4-7825-494f-9023-0b1a289905b4,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Machamp,Cards,2023,Mint,4800,A rare 1st Edition Machamp from the Rare Pokémon Cards collection.
1d38cb10-db7c-4e8c-8eb9-02dcf3ed4517,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Shining Kabutops,Cards,1964,Used,4600,A rare Shining Kabutops from the Rare Pokémon Cards collection.
45a9cec7-c777-4e09-acf2-d67b900d25fa,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Gold Star Celebi,Cards,1978,Used,4400,A rare Gold Star Celebi from the Rare Pokémon Cards collection.
00cfaecb-da13-40ff-91bf-2a57a96541e9,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Shining Gyarados,Cards,1991,Used,4200,A rare Shining Gyarados from the Rare Pokémon Cards collection.
53084ee0-028d-46ff-bbaa-47486ab3bae2,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Snorlax,Cards,1971,Worn,4000,A rare 1st Edition Snorlax from the Rare Pokémon Cards collection.
7389100e-de7c-4f7b-958a-6c640171dd69,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Aerodactyl,Cards,2003,Mint,3800,A rare 1st Edition Aerodactyl from the Rare Pokémon Cards collection.
ccb0fa10-4cf4-478e-b2de-7ae7ce0f58bb,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Base Set 2 Charizard,Cards,2012,Used,3600,A rare Base Set 2 Charizard from the Rare Pokémon Cards collection.
b99a6fff-5a45-4b1e-bd0d-b48b5ffc11ad,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Poliwrath,Cards,2013,Used,3400,A rare 1st Edition Poliwrath from the Rare Pokémon Cards collection.
9af7b4ae-4304-4718-aea3-3017103a89d0,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Moltres,Cards,1951,Worn,3200,A rare 1st Edition Moltres from the Rare Pokémon Cards collection.
95bf853e-f843-4bee-80ee-ffde73af99c5,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Gold Star Latias,Cards,1950,Mint,3000,A rare Gold Star Latias from the Rare Pokémon Cards collection.
5674f790-457e-4e83-b09f-6a28f9722546,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Gold Star Latios,Cards,1998,Near Mint,2800,A rare Gold Star Latios from the Rare Pokémon Cards collection.
853a2003-7101-4f77-970a-163b673f1af9,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,Shining Steelix,Cards,2007,Worn,2600,A rare Shining Steelix from the Rare Pokémon Cards collection.
fe11612c-a023-41eb-bd87-dd0232ec5f9b,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Jolteon,Cards,2010,Near Mint,2400,A rare 1st Edition Jolteon from the Rare Pokémon Cards collection.
d9b4dcdc-48de-4e0b-bdf8-3a3db599d6d8,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Vaporeon,Cards,1960,Worn,2200,A rare 1st Edition Vaporeon from the Rare Pokémon Cards collection.
2b57220f-11b3-47fc-b017-06b1701f50d8,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Flareon,Cards,1995,Worn,2000,A rare 1st Edition Flareon from the Rare Pokémon Cards collection.
b6aa9640-6ec3-4a66-a807-af288bcff12c,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Dragonite,Cards,2023,Worn,1800,A rare 1st Edition Dragonite from the Rare Pokémon Cards collection.
ff0104d7-26ff-4f42-b3b4-a0e31b8c6475,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Ninetales,Cards,1974,Worn,1600,A rare 1st Edition Ninetales from the Rare Pokémon Cards collection.
b8fb40c2-c0e3-4e9a-b61f-fd0a0ec499cf,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Hitmonchan,Cards,1983,Mint,1400,A rare 1st Edition Hitmonchan from the Rare Pokémon Cards collection.
addc395e-dde3-4c35-97dc-8569fee88981,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Electabuzz,Cards,1973,Used,1200,A rare 1st Edition Electabuzz from the Rare Pokémon Cards collection.
f1dfb495-a00a-4fc7-9cf4-1bccdee8008d,b8e3452a-6c3e-42ff-9cbe-89d1f2aaf5d1,Rare Pokémon Cards,1st Edition Chansey,Cards,1992,Near Mint,1000,A rare 1st Edition Chansey from the Rare Pokémon Cards collection.
e4737526-641d-4c12-b3ce-abdc6503abe9,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Blue Sapphire,Stones,1978,Worn,5000,A rare Blue Sapphire from the Precious Stones collection.
3d32d9e1-b9f7-42eb-af85-bcb6e1d0fc47,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Emerald,Stones,1980,Mint,7000,A rare Emerald from the Precious Stones collection.
4ba1bfc2-b801-4715-8ea5-31227dc3c874,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Ruby,Stones,1997,Used,9000,A rare Ruby from the Precious Stones collection.
06749ecd-e541-4f4d-8f21-277018619140,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Tanzanite,Stones,2006,Worn,1500,A rare Tanzanite from the Precious Stones collection.
e04066b9-e772-4ed2-ace2-f0664d2bb54c,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Alexandrite,Stones,1978,Used,12000,A rare Alexandrite from the Precious Stones collection.
36b79435-c5aa-4acf-bd95-ca249280e898,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Paraiba Tourmaline,Stones,2002,Mint,25000,A rare Paraiba Tourmaline from the Precious Stones collection.
637f5646-ba80-41a9-a129-0754def49c81,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Black Opal,Stones,1996,Used,10000,A rare Black Opal from the Precious Stones collection.
b2f2ae22-f186-4b06-a6ff-77e0a4cdd4e9,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Pink Diamond,Stones,1967,Used,50000,A rare Pink Diamond from the Precious Stones collection.
3ee25d41-ddf8-40c0-84c0-b9c120791b0f,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Aquamarine,Stones,1966,Used,2000,A rare Aquamarine from the Precious Stones collection.
3ddd3aa9-2481-4277-841a-537a9d462f08,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Peridot,Stones,1966,Used,800,A rare Peridot from the Precious Stones collection.
6b7f8674-d995-4b01-a825-b21a46e9afcd,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,White Diamond,Stones,2007,Used,30000,A rare White Diamond from the Precious Stones collection.
447dfde6-58e1-4683-a58c-000911a6703f,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Red Beryl,Stones,1951,Worn,20000,A rare Red Beryl from the Precious Stones collection.
d1a62b43-f614-493d-a7e7-1304a9ed4d34,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Spinel,Stones,1996,Used,4000,A rare Spinel from the Precious Stones collection.
9db38ae4-91a8-4aae-9707-2be7d78fd978,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Zircon,Stones,2022,Worn,2500,A rare Zircon from the Precious Stones collection.
8a74b653-d043-4b9e-81c9-8bc9787cf3e0,d6a9b62f-9a0a-42d2-b4dc-1d3a1e7d,Precious Stones,Opal,Stones,2010,Worn,3500,A rare Opal from the Precious Stones collection.
b8a52519-bae0-4385-b672-8e2c81fb74b0,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,British Guiana 1c Magenta,World,2006,Worn,9000000,A rare British Guiana 1c Magenta from the Stamps from Around the World collection.
f5ccffd9-1de3-4010-8983-e8f50e3cd881,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Treskilling Yellow,World,2004,Used,2700000,A rare Treskilling Yellow from the Stamps from Around the World collection.
d6d16f56-d905-4c8a-bb1d-cf69b3f65459,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,The Inverted Jenny,World,1995,Near Mint,1500000,A rare The Inverted Jenny from the Stamps from Around the World collection.
9a1fad44-38a9-4ce2-9b62-acda2b7c3c38,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Baden 9 Kreuzer Error,World,2002,Worn,1500000,A rare Baden 9 Kreuzer Error from the Stamps from Around the World collection.
07f77ed2-f0af-4712-9776-08b91da7279c,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Mauritius Post Office Stamp,World,1976,Worn,1200000,A rare Mauritius Post Office Stamp from the Stamps from Around the World collection.
831c52a7-e647-45d5-89e9-f748e584bc13,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Hawaiian Missionaries Stamp,World,2014,Worn,750000,A rare Hawaiian Missionaries Stamp from the Stamps from Around the World collection.
0c3b8dc8-fd5c-4a5d-8512-4701a9c2adf4,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Penny Black,World,1987,Used,10000,A rare Penny Black from the Stamps from Around the World collection.
b6dec91c-a832-4468-aead-d34e4c62fe2e,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Blue Boy Alexandria,World,2018,Worn,400000,A rare Blue Boy Alexandria from the Stamps from Around the World collection.
17c42eb3-0673-4421-a961-ec80608de459,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,The Whole Country is Red,World,2022,Used,2000000,A rare The Whole Country is Red from the Stamps from Around the World collection.
397a1a6b-ea43-4b19-b5da-7e6af8a42956,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Bavarian One Kreuzer,World,2016,Mint,30000,A rare Bavarian One Kreuzer from the Stamps from Around the World collection.
fd9ff0d3-d2f4-4970-a2fa-2307c0bf7431,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Orange Mauritius,World,1981,Used,1500000,A rare Orange Mauritius from the Stamps from Around the World collection.
3e6ead5e-f81b-4c8a-984a-9c2063a5834f,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Basel Dove,World,1974,Mint,800000,A rare Basel Dove from the Stamps from Around the World collection.
3da35e3a-7a9e-46da-b0e7-23f71e0a0d27,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Red Mercury Stamp,World,1959,Mint,700000,A rare Red Mercury Stamp from the Stamps from Around the World collection.
c028ed7d-fd57-4603-a831-8c185b8f3cac,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Scinde Dawk,World,1988,Worn,600000,A rare Scinde Dawk from the Stamps from Around the World collection.
3d11f255-0a0e-4f59-afb8-5a7f6390d9fe,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,First Issues of New South Wales,World,1968,Mint,500000,A rare First Issues of New South Wales from the Stamps from Around the World collection.
eb266889-3b7f-40dd-b69e-3d7d0267e0d3,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Canada 12 Pence Black,World,1972,Near Mint,450000,A rare Canada 12 Pence Black from the Stamps from Around the World collection.
b5ac8302-943a-47a4-ba4a-9f0c537bfffb,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Z Grill Stamp,World,2018,Near Mint,400000,A rare Z Grill Stamp from the Stamps from Around the World collection.
5a318152-c245-4e57-a6ef-7da196a7a408,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Penny Red Plate 77,World,1974,Near Mint,350000,A rare Penny Red Plate 77 from the Stamps from Around the World collection.
6c1aa1fc-519f-44f2-9d52-de634622e1a4,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Benjamin Franklin Z Grill,World,1955,Used,300000,A rare Benjamin Franklin Z Grill from the Stamps from Around the World collection.
b1556a56-1576-41db-bae9-f421dd099b2f,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,British Penny Black,World,2008,Worn,250000,A rare British Penny Black from the Stamps from Around the World collection.
d709972e-515d-44c9-ba7a-cda72bec124d,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,The St. Louis Bears,World,1972,Near Mint,200000,A rare The St. Louis Bears from the Stamps from Around the World collection.
6705dbb4-ef7e-4682-9238-6e955d4abed0,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Hawaiian Two-Cent Blue,World,1995,Used,150000,A rare Hawaiian Two-Cent Blue from the Stamps from Around the World collection.
dd4cae80-0428-451b-929f-8f0133091eaf,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Danish West Indies 3c,World,2005,Mint,100000,A rare Danish West Indies 3c from the Stamps from Around the World collection.
2209dc97-cbea-430c-b22b-6666888ddfc4,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,China Red Revenue Stamp,World,1958,Worn,75000,A rare China Red Revenue Stamp from the Stamps from Around the World collection.
156200b8-f68a-4d14-94ef-b2e90e947a5b,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Cape of Good Hope Triangular,World,1967,Near Mint,50000,A rare Cape of Good Hope Triangular from the Stamps from Around the World collection.
f715a60c-763b-4148-8805-5cc726381f99,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Jamaica First Issue,World,1992,Mint,25000,A rare Jamaica First Issue from the Stamps from Around the World collection.
f0dfa3a7-7949-4f5c-9a6f-579c77e83e09,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Columbian Issue Stamp,World,1975,Worn,10000,A rare Columbian Issue Stamp from the Stamps from Around the World collection.
bfa08feb-4556-4830-8991-fb23f0476bac,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Australian Kangaroo and Map,World,2006,Worn,7500,A rare Australian Kangaroo and Map from the Stamps from Around the World collection.
d098fffc-b25b-47e3-9db3-8ec094a7b486,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,South African First Issue,World,2005,Used,5000,A rare South African First Issue from the Stamps from Around the World collection.
75246b74-a456-4ff1-8a36-6f4e7718339d,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Stamps from Around the World,Swedish Treskilling Green,World,2002,Worn,2500,A rare Swedish Treskilling Green from the Stamps from Around the World collection.
60515b5a-bfc9-400a-bca0-2764d4a7bbd9,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Designer Bags,Hermès Birkin 30 Himalaya,Bags,2006,Mint,380000,A rare Hermès Birkin 30 Himalaya from the Designer Bags collection.
2f8900ec-71c1-45ff-893f-aac2d05d0c28,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Designer Bags,Louis Vuitton Urban Satchel,Bags,1994,Mint,150000,A rare Louis Vuitton Urban Satchel from the Designer Bags collection.
8cbb7e1b-4d88-46de-bfe0-2eed65abb289,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Designer Bags,Chanel Diamond Forever,Bags,1956,Worn,261000,A rare Chanel Diamond Forever from the Designer Bags collection.
3b21e9e6-0170-44da-9a23-7c1f8982a73a,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Designer Bags,Fendi Selleria Bag,Bags,1982,Near Mint,38000,A rare Fendi Selleria Bag from the Designer Bags collection.
08210850-60d7-4948-9181-1b07ce906c74,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Designer Bags,Dior Lady Dior Crocodile,Bags,2007,Mint,45000,A rare Dior Lady Dior Crocodile from the Designer Bags collection.
5c7dfeeb-a5cd-4609-b92e-c0b72cb6c067,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Designer Bags,Gucci Sylvie Crocodile,Bags,2013,Mint,32000,A rare Gucci Sylvie Crocodile from the Designer Bags collection.
edafd783-140b-40c0-b706-639d0509b4d5,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Designer Bags,Prada Crocodile Tote,Bags,2008,Mint,40000,A rare Prada Crocodile Tote from the Designer Bags collection.
ba61eecd-1d2c-4035-ac71-bfc3d0865a65,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Designer Bags,Bottega Veneta Cabat,Bags,1967,Near Mint,25000,A rare Bottega Veneta Cabat from the Designer Bags collection.
213fa102-d2c1-46af-8a76-e233f9a19a45,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Designer Bags,Céline Luggage Tote,Bags,2001,Mint,3000,A rare Céline Luggage Tote from the Designer Bags collection.
0ac8f684-0196-4b27-839a-d3130168e9c1,c3a19b8d-54f5-41c3-b3b7-91c98a10e8a6,Designer Bags,Balenciaga City Bag,Bags,2021,Mint,2000,A rare Balenciaga City Bag from the Designer Bags collection.
